Shipment_ID,Tracking_Code,Carrier_Name,Origin_Facility,Destination_Facility,Cargo_Type,Cargo_Value_USD,Route_Distance_KM,Route_Type,Ambient_Avg_Temp_C,Ambient_Peak_Temp_C,Reefer_Set_Point_C,Reefer_Internal_Temp_C,Reefer_Max_Internal_Temp_C,Compressor_Age_Years,Compressor_Run_Hours,Compressor_Vibration_RMS,Door_Open_Events,Door_Open_Total_Mins,Insulation_Seal_Score,Thermal_Excursion_Minutes,Mean_Kinetic_Temp_C,Quality_Degradation_Score,Spoilage_Flag,Predicted_Spoilage_Risk,Risk_Category,Prescriptive_Action
SHP-1000,AB-REEFER-8000,ColdFleet Express,Haryana Bottling Facility,Kolkata Eastern Terminal,Pasteurized Keg Beer / Premium Lager,35374.98,715,Long Haul,27.6,32.4,3.5,4.61,9.49,3.2,17.53,0.223,12,48,88.7,28,6.46,5.62,0,0.002,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1001,AB-REEFER-8001,ColdFleet Express,Punjab Regional Cold Hub,Kolkata Eastern Terminal,Pharma Biologics & Vaccines,277508.52,288,Short Haul,38.36,41.85,4.0,4.51,6.26,0.5,5.37,0.741,1,7,90.5,0,5.17,12.18,0,0.002,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1002,AB-REEFER-8002,PolarTrans Logistics,Gujarat BioPharma Park,Goa Coastal Transit Hub,Pharma Biologics & Vaccines,110909.87,509,Mid Haul,29.65,34.29,4.0,5.65,7.97,7.0,7.02,0.573,1,5,77.4,0,6.53,8.23,0,0.0016,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1003,AB-REEFER-8003,PolarTrans Logistics,Haryana Bottling Facility,Delhi NCR Mega Fulfillment,Pasteurized Keg Beer / Premium Lager,24885.3,530,Mid Haul,41.05,45.54,3.5,5.16,10.67,4.6,9.69,0.746,3,32,69.7,75,7.25,31.8,0,0.0174,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1004,AB-REEFER-8004,ThermoHaul Freight,Haryana Bottling Facility,Goa Coastal Transit Hub,Pasteurized Keg Beer / Premium Lager,38276.21,502,Mid Haul,34.14,39.82,3.5,5.37,9.64,2.5,11.22,0.555,2,15,95.5,39,6.99,11.36,0,0.0017,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1005,AB-REEFER-8005,PolarTrans Logistics,Punjab Regional Cold Hub,Mumbai Urban Distribution Center,Pasteurized Keg Beer / Premium Lager,29507.54,997,Long Haul,26.62,30.64,3.5,4.21,9.26,4.8,23.78,0.389,3,37,97.7,28,6.13,0.82,0,0.0014,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1006,AB-REEFER-8006,ThermoHaul Freight,Punjab Regional Cold Hub,Goa Coastal Transit Hub,Pasteurized Keg Beer / Premium Lager,51385.32,505,Mid Haul,28.81,31.4,3.5,4.49,6.44,6.6,8.24,0.538,1,13,86.0,5,5.23,9.59,0,0.0017,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1007,AB-REEFER-8007,ColdFleet Express,AB InBev Brewery - Bengaluru Hub,Hyderabad Metro Depot,Pharma Biologics & Vaccines,232616.8,401,Mid Haul,38.91,46.36,4.0,5.84,10.94,3.8,9.21,0.442,8,66,96.4,141,7.78,47.55,0,0.1525,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1008,AB-REEFER-8008,ColdFleet Express,Maharashtra Distribution Center,Delhi NCR Mega Fulfillment,Pasteurized Keg Beer / Premium Lager,24440.46,815,Long Haul,27.36,34.79,3.5,3.67,9.32,3.5,18.96,0.909,5,38,98.5,28,5.82,14.37,0,0.002,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1009,AB-REEFER-8009,ThermoHaul Freight,Haryana Bottling Facility,Goa Coastal Transit Hub,Pasteurized Keg Beer / Premium Lager,34336.2,483,Mid Haul,35.64,39.49,3.5,5.13,9.89,1.6,13.54,0.501,12,57,83.5,54,6.94,33.03,0,0.0028,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1010,AB-REEFER-8010,PolarTrans Logistics,Gujarat BioPharma Park,Kolkata Eastern Terminal,Frozen Foods & Confectionery,36587.26,306,Mid Haul,35.44,40.34,-20.0,-17.71,-12.81,3.9,5.63,0.8,3,41,95.4,25,-15.85,13.31,0,0.0024,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1011,AB-REEFER-8011,ColdFleet Express,Punjab Regional Cold Hub,Goa Coastal Transit Hub,Pasteurized Keg Beer / Premium Lager,48826.52,535,Mid Haul,28.06,32.21,3.5,4.97,9.12,3.1,12.64,0.71,1,7,80.9,49,6.55,24.99,0,0.0016,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1012,AB-REEFER-8012,PolarTrans Logistics,Gujarat BioPharma Park,Delhi NCR Mega Fulfillment,Pasteurized Keg Beer / Premium Lager,46175.95,305,Mid Haul,26.89,33.6,3.5,5.86,11.34,0.9,8.12,0.948,3,39,95.2,108,7.94,47.41,0,0.0219,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1013,AB-REEFER-8013,ColdFleet Express,Punjab Regional Cold Hub,Kolkata Eastern Terminal,Pasteurized Keg Beer / Premium Lager,41012.76,449,Mid Haul,40.53,44.61,3.5,5.97,9.63,5.2,8.02,0.73,3,28,95.3,48,7.36,22.15,0,0.0019,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1014,AB-REEFER-8014,ArcticLogistics Global,Haryana Bottling Facility,Kolkata Eastern Terminal,Pharma Biologics & Vaccines,272224.21,951,Long Haul,31.48,35.12,4.0,6.19,7.99,3.9,21.44,0.882,1,6,67.1,5,6.87,18.01,0,0.0026,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1015,AB-REEFER-8015,ThermoHaul Freight,AB InBev Brewery - Bengaluru Hub,Hyderabad Metro Depot,Pasteurized Keg Beer / Premium Lager,49445.38,578,Mid Haul,31.8,37.2,3.5,5.76,7.57,5.6,15.24,0.317,1,8,97.6,0,6.45,4.89,0,0.0013,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1016,AB-REEFER-8016,ThermoHaul Freight,Punjab Regional Cold Hub,Delhi NCR Mega Fulfillment,Fresh Dairy & Perishables,21271.34,704,Long Haul,40.28,46.87,2.5,3.22,6.51,3.2,14.7,0.635,3,24,71.9,130,4.47,54.71,1,0.2893,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1017,AB-REEFER-8017,ColdFleet Express,Maharashtra Distribution Center,Kolkata Eastern Terminal,Pharma Biologics & Vaccines,188594.36,553,Mid Haul,26.75,30.08,4.0,4.73,8.23,6.4,13.75,0.369,2,15,76.4,28,6.06,11.45,0,0.0016,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1018,AB-REEFER-8018,ArcticLogistics Global,AB InBev Brewery - Bengaluru Hub,Delhi NCR Mega Fulfillment,Pasteurized Keg Beer / Premium Lager,51131.75,1103,Cross-Country,41.11,45.98,3.5,5.05,9.12,7.4,17.56,0.818,3,18,63.4,22,6.6,21.31,0,0.0056,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1019,AB-REEFER-8019,ThermoHaul Freight,Haryana Bottling Facility,Kolkata Eastern Terminal,Pasteurized Keg Beer / Premium Lager,44300.58,1287,Cross-Country,27.04,31.55,3.5,5.28,7.48,7.2,32.17,0.273,2,8,63.7,0,6.12,15.02,0,0.0014,Low Risk (Safe),OPTIMAL: Thermal Profile Compliant; Clear for Immediate Inbound Put-away
SHP-1020,AB-REEFER-8020,ThermoHaul Freight,Gujarat BioPharma Park,Goa Coastal Transit Hub,Pharma Biologics & Vaccines,120476.02,382,Mid Haul,31.34,35.03,4.0,5.21,16.36,7.9,9.71,0.326,16,138,94.6,150,9.45,99.98,1,0.9915,Critical Risk (Immediate Action),CRITICAL: Quash for Biologics Potency & Cold-Chain Excursion Audit; Do Not Release to Cold-Room
SHP-1021,AB-REEFER-8021,ArcticLogistics Global,Punjab Regional Cold Hub,Delhi NCR Mega Fulfillment,Fresh Dairy & Perishables,20180.34,944,Long Haul,39.1,42.86,2.5,4.54,11.99,0.5,21.45,0.907,8,74,65.8,173,7.37,100.0,1,0.9934,Critical Risk (Immediate Action),CRITICAL: High Quality Degradation Detected; Expedite Destination QA Inspection
